Bathymodiolus securiformis
Proechimys trinitatis
Proechimys steerei
Proechimys poliopus
Proechimys pattoni
Proechimys mincae
Proechimys kulinae
Proechimys goeldii
Proechimys gardneri
Chionodraco rastrospinosus
Diploderma flaviceps
Niltava davidi
Picumnus innominatus
Psittiparus gularis
Trichogramma ostriniae
Trichogramma japonicum
Paruterina candelabraria
Echinostoma miyagawai
Colpocephalum griffoneae
Falcolipeurus quadripustulatus
Oxymeris dimidiata
Cladonia subtenuis
Margarya oxytropoides
Nassarius variciferus
Tritia reticulata
Bivetiella cancellata
Monoplex parthenopeus
Obscurella hidalgoi
Cassiopea xamachana
Ceraesignum maximum
Pseudocalotes microlepis
Digramma interrupta
Ligula intestinalis
Proechimys simonsi
Pristis pristis
Thrips palmi
Ovis dalli
Ovis nivicola lydekkeri
Paragonimus heterotremus
Populicerus populi
Hyporhamphus quoyi
Choristoneura pinus pinus
Choristoneura conflictana
Proechimys roberti
Proechimys hoplomyoides
Kaloula verrucosa
Proechimys echinothrix
Dnopherula yuanmowensis
Hyalella azteca
Parhyale hawaiensis
Trinorchestia longiramus
Cheilopogon spilonotopterus
Linguatula serrata
Pericapritermes nitobei
Ixos mcclellandii
Proechimys quadruplicatus
Proechimys guairae
Yunnanilus jinxiensis
Hirundichthys rondeletii
Cheilopogon pinnatibarbatus
Pseudoniphargus stocki
Pseudoniphargus carpalis
Matuta planipes
Lampsilis siliquoidea
Gonioctena intermedia
Potomida littoralis
Microcebus murinus
Proechimys semispinosus calidior
Buccinulum pertinax finlayi
Capreolus pygargus tianschanicus
Rucervus duvaucelii branderi
Sus scrofa cristatus
Ambystoma talpoideum
Zele chlorophthalmus
Metapenaeus affinis
Microhyla taraiensis
Vargula tsujii
Meles leucurus
Thais luteostoma
Chicoreus torrefactus
Chaenodraco wilsoni
Phymatostetha huangshanensis (nomen nudum)
Gymnothorax niphostigmus
Neocyema erythrosoma
Aldrovandia oleosa
Polyacanthonotus rissoanus
Vespa affinis
Oreonectes daqikongensis
Penion ormesi
Cominella adspersa
Kelletia lischkei
Aeneator recens
Buccinulum fuscozonatum
Aeneator elegans
Antarctoneptunea benthicola
Penion cuvierianus
Antarctoneptunea aurora
Penion chathamensis
Myloplus rubripinnis
Myleus cf. schomburgkii XL-2018
Metynnis hypsauchen
Cranuca inversa
Epixanthus frontalis
Pachygrapsus marmoratus
Pilumnus vespertilio
Tubuca capricornis
Tubuca polita
Cardisoma carnifex
Rhizomys sumatrensis
Proechimys semispinosus
Proechimys gularis
Proechimys brevicauda
Proechimys cuvieri
Proechimys guyannensis
Bellamya purificata
Tringa glareola
Gyps himalayensis
Nanorana ventripunctata
Echinococcus granulosus sensu lato genotype G7
Echinococcus granulosus sensu lato genotype G6
Periophthalmus novemradiatus
Bubo bubo
Gyrodactylus nyanzae
Octopus variabilis
Hemigrapsus penicillatus
Buceros bicornis
Lasioderma serricorne
Cicindela anchoralis
Soliperla sp. ZTC-2018
Typhlosyrinx sp. MNHN IM 2013-18371
Leucosyrinx sp. MNHN IM 2013-19304
Splendrillia sp. 1 MNHN IM 2013-9619
Gemmuloborsonia moosai
Dotilla wichmanni
Gaetice depressus
Gelasimus borealis
Gymnothorax minor
Anomalurus pusillus
Anomalurus derbianus
Anomalurus pelii
Pseudomegarcys japonica
Isoperla eximia
Spongiocaris panglao
Parahyaena brunnea
Bubo scandiacus
Strix uralensis
Histiostoma feroniarum
Thryssa setirostris
Milvus migrans
Pectinatella magnifica
Isoperla bilineata
Bathytoma punicea
Metopograpsus quadridentatus
Microtus arvalis
Anomalurus beecrofti
Nassarius hepaticus
Zenkerella insignis
Idiurus macrotis
Cladonia peziziformis
Neoceratias spinifer
Huananpotamon lichuanense
Caulerpa lentillifera
Apis nigrocincta
Anthracoceros coronatus
Misgurnus mizolepis
Russelliana solanicola
Psylla alni
Pariaconus pele
Livia junci
Leptynoptera sulfurea
Freysuila caesalpiniae
Microhyla mixtura
Anastrangalia sequensi
Cyathostomum pateratum
Parasesarma pictum
Beroe forskalii
Tragelaphus buxtoni
Dosinia japonica
Biomphalaria choanomphala
Biomphalaria sudanica
Biomphalaria pfeifferi
Nannacara anomala
Thorichthys aureus
Geophagus brasiliensis
Carios faini
Argas walkerae
Argas striatus
Serinus canaria
Schizothorax taliensis
Shinkaicaris leurokolos
Gammarus roeselii
Amarsipus carlsbergi
Occidentarius platypogon
Gyge ovalis
Macaca mulatta vestita
Porites fontanesii
Porzana paykullii
Cirriformia cf. tentaculata HK-2018
Toxodera hauseri
Melanophryniscus moreirae
Notopteryx soror
Neolethaeus assamensis
Dalsira scabrata
Metatropis longirostris
Macrosaldula sp. PJ-2017
Nabicula flavomarginata
Aphelocheirus jendeki
Acanthaspis ruficeps
Astrospartus mediterraneus
Amphipholis squamata
Bufoceratias thele
